Unnamed: 0,등장인물,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
인게임스킬,,"스킬 1 - 팔진서생 (아군 버프): 아군 전체의 공격력과 치명타 확률을 3턴간 대폭 증가시킴.스킬 2 - 기문둔갑 (디버프): 지정한 적의 이로운 효과를 전부 해제하고, 행동 게이지를 0%로 초기화함.",철갑목우 소환: 전방에 단단한 나무 인형을 소환해 2턴간 아군 대신 맞게 함. 폭뢰격발: 적 발밑에 몰래 장치해 둔 기관포를 터뜨려 광역 화상 피해를 줌.,,,,,,,,,
,,목 (木) (만물을 조율하고 아군을 살리는 지혜의 나무 기운),금 (金) (쇠와 나무로 목우와 함정을 깎아 만드는 기관술),,,,,,,,,
,,메인 서포터 (아군 공격력/치명타 버프 및 적 행동 게이지 제어),소환형 유틸러 (목우 소환으로 딜 분산 및 광역 속도 감소 디버프),,,,,,,,,
캐릭터설명,,제갈세가의 가주. 무림맹의 총군사를 맡고 있을 정도로 두뇌가 명석함. 부채질 한 번으로 적들의 진형을 와해시키고 아군에게 필승의 진법 버프를 주는 전장의 사령탑.,"제갈현의 외동딸. 가문의 정통 진법 공부는 지루하다며 땡땡이치고, 비밀 지하실에서 하루 종일 목우(인형)를 깎아 만드는 기관술 천재. 자신이 만든 거대 목우 '웅이'를 전투에 소환해 싸움.",,,,,,,,,
,당가,서브,,,,,,,,,,
성별,,남,여,,,,,,,,,
이름,,당외,당소소,,,,,,,,,
나이,,51,18,,,,,,,,,
별호,,천수독왕 (千手毒王),독련화 (毒蓮花),,,,,,,,,
문파 or 세가,,사천당가,사천당가,,,,,,,,,
경지,,화경 (化境)(중),초일류 (超一流),,,,,,,,,
성향,,정파,정파,,,,,,,,,
대표무공,,"만천화우 (滿天花雨), 십독신공 (十毒神功)","천녀산화 (天女散花), 배도암기술",,,,,,,,,
인게임스킬,,스킬 1 - 만천화우 (滿天花雨) (광역 디버프): 무수한 암기와 독극물을 뿌려 적 전체에게 3턴간 해제 불가능한 [당문 치명독(턴마다 최대 체력의 5% 피해)]을 부여함.스킬 2 - 십독살진 (단일 공격): 중독된 적 하나에게 내력을 뿜어 피해를 줌. 대상에게 걸린 독 디버프 개수당 피해량이 30%씩 추가 증가함.,"스킬 1 - 추혼탈명담 (단일 공격): 방어력을 30% 관통하는 암기를 날림. 대상의 체력이 50% 이하일 경우 피해량이 2배로 증가함.스킬 2 - 독련화의 가시 (버프): 은신 상태에 돌입하여 2턴간 적에게 타겟팅되지 않으며, 은신 상태에서 공격 시 치명타 100%로 적중함.",,,,,,,,,
,,수 (水) (소리 없이 침투해 생명을 앗아가는 차가운 독수),금 (金) (치명적인 쇠붙이 암기를 날리는 저격수),,,,,,,,,
,,광역 디버프 딜러 (정화 불가능한 당문 치명독을 뿌리는 지속 딜러),단일 암살자 (체력 적은 타겟 확정 킬 및 은신 생존형 딜러),,,,,,,,,
캐릭터설명,,사천당가의 현 가주. 가문의 영광과 독의 정점에만 관심이 있어 외동딸인 당소소를 철저히 방치하고 오직 가문의 도구로만 여긴다. 극도로 냉혹하고 이성적인 성정.,"가주 당외의 철저한 방치 속에서 스스로 살아남기 위해 독을 품은 아기 고양이. 아버지를 증오하고 원망하지만, 내심 가문에서 인정받고 싶어 악착같이 독문 무공을 수련했다.",,,,,,,,,
,황보,서브,,,,,,,,,,
성별,,남,남,,,,,,,,,
이름,,황보웅,황보위,,,,,,,,,
나이,,55,23,,,,,,,,,
별호,,붕천권마 (崩天拳魔),태산소권 (泰山小拳),,,,,,,,,
문파 or 세가,,황보세가,황보세가,,,,,,,,,
경지,,화경 (化境)(중),초일류 (超一流),,,,,,,,,
성향,,정파,정파,,,,,,,,,
대표무공,,"태산붕천권 (泰山崩天拳), 금강불괴신공 (金剛不壞神功)","벽력권법 (霹靂拳法), 금강권배 (金剛拳排)",,,,,,,,,
인게임스킬,,"스킬 1 - 태산붕천권 (단일 공격/제어): 바위 같은 주먹으로 적의 대가리를 때려 1턴간 [기절]시키고 뒤로 밀쳐냄(행동 게이지 30% 감소).스킬 2 - 금강불괴신공 (자가 버프): 3턴간 자신이 받는 모든 피해를 50% 감소시키고, 피격 시마다 100% 확률로 꿀밤(반격)을 날림.","스킬 1 - 벽력권풍 (단일 공격): 강렬한 권풍을 쏘아 적에게 피해를 줌. 자신의 잃은 체력에 비례해 데미지 증가.스킬 2 - 금강권배 (도발/보호): 지정한 아군 하나를 2턴간 대신 보호(가드)하며, 공격한 적을 1턴간 [도발]함.",,,,,,,,,
,,금 (金) (온몸이 쇠가 되는 금강불괴신공),토 (土) (바위처럼 단단하게 전선을 지탱하는 맷집),,,,,,,,,
,,반격형 제어 탱커 (피격 시 무조건 반격 꿀밤을 때리고 적을 기절시킴),공격형 탱커 (딜탱) (피가 깎일수록 주먹이 매서워지는 버서커형 딜탱),,,,,,,,,
캐릭터설명,,"황보세가의 거구 가주. 산만 한 덩치와 험악한 흉터로 무림인들을 지리게 만들지만, 하나뿐인 아들 황보위 앞에서는 사족을 못 쓰고 질질 짜는 눈물겨운 주책바가지 아들 바보이다.",황보웅의 금지옥엽 외아들. 아버지가 온 무림 맹주들 앞에서 자기를 둥가둥가 우쭈쭈 해주는 통에 매일 부끄러워 뒷목을 잡는다. 아버지 때문에 툴툴대지만 무공에 있어서는 타협 없는 강직한 성격.,,,,,,,,,
