-- ====================================================================
-- 8. 퀘스트 및 스테이지 진행도 마스터 셋업 (프롤로그 + 1~10막 총 155스테이지)
-- ====================================================================
INSERT INTO mst_stage (id, chapter_id, stage_num, title, story_before_id, story_after_id, monster_group_id, reward_gold, reward_exp) VALUES
(151, 10, 11, '천마의 종말 11장', 0, 0, 1011, 1920, 605),
(152, 10, 12, '천마의 종말 12장', 0, 0, 1012, 1940, 610),
(153, 10, 13, '천마의 종말 13장', 0, 0, 1013, 1960, 615),
(154, 10, 14, '천마의 종말 14장', 0, 0, 1014, 1980, 620),
(155, 10, 15, '천마의 종말 15장', 0, 0, 1015, 2000, 625);

INSERT INTO mst_main_quest (id, chapter_id, target_stage_id, title, goal_desc, reward_gold, reward_gems) VALUES
(1, 0, 1, '피비린내 나는 밤', '프롤로그 1관문 클리어', 1000, 100),
(2, 0, 2, '기습하는 살인귀', '프롤로그 2관문 클리어', 1200, 100),
(3, 0, 3, '퇴로 차단', '프롤로그 3관문 클리어', 1500, 100),
(4, 0, 4, '벼랑 끝으로', '프롤로그 4관문 클리어', 1800, 100),
(5, 0, 5, '복수의 씨앗', '프롤로그 5관문 클리어', 2500, 1500),
(6, 1, 5, '천하객잔의 인연', '객잔에서 새로운 동료 영입하기', 3000, 100),
(7, 1, 6, '어둠의 태동 1관문 돌파', '스테이지 1-1 클리어', 3300, 100),
(8, 1, 7, '어둠의 태동 2관문 돌파', '스테이지 1-2 클리어', 3350, 100),
(9, 1, 8, '어둠의 태동 3관문 돌파', '스테이지 1-3 클리어', 3400, 100),
(10, 1, 9, '어둠의 태동 4관문 돌파', '스테이지 1-4 클리어', 3450, 100),
(11, 1, 10, '어둠의 태동 5관문 돌파', '스테이지 1-5 클리어', 3500, 100),
(12, 1, 11, '어둠의 태동 6관문 돌파', '스테이지 1-6 클리어', 3550, 100),
(13, 1, 12, '어둠의 태동 7관문 돌파', '스테이지 1-7 클리어', 3600, 100),
(14, 1, 13, '어둠의 태동 8관문 돌파', '스테이지 1-8 클리어', 3650, 100),
(15, 1, 14, '어둠의 태동 9관문 돌파', '스테이지 1-9 클리어', 3700, 100),
(16, 1, 15, '어둠의 태동 10관문 돌파', '스테이지 1-10 클리어', 3750, 100),
(17, 1, 16, '어둠의 태동 11관문 돌파', '스테이지 1-11 클리어', 3800, 100),
(18, 1, 17, '어둠의 태동 12관문 돌파', '스테이지 1-12 클리어', 3850, 100),
(19, 1, 18, '어둠의 태동 13관문 돌파', '스테이지 1-13 클리어', 3900, 100),
(20, 1, 19, '어둠의 태동 14관문 돌파', '스테이지 1-14 클리어', 3950, 100),
(21, 1, 20, '어둠의 태동 15관문 돌파', '스테이지 1-15 클리어', 4000, 100),
(22, 2, 21, '고갯길의 복병 1관문 돌파', '스테이지 2-1 클리어', 4050, 100),
(23, 2, 22, '고갯길의 복병 2관문 돌파', '스테이지 2-2 클리어', 4100, 100),
(24, 2, 23, '고갯길의 복병 3관문 돌파', '스테이지 2-3 클리어', 4150, 100),
(25, 2, 24, '고갯길의 복병 4관문 돌파', '스테이지 2-4 클리어', 4200, 100),
(26, 2, 25, '고갯길의 복병 5관문 돌파', '스테이지 2-5 클리어', 4250, 100),
(27, 2, 26, '고갯길의 복병 6관문 돌파', '스테이지 2-6 클리어', 4300, 100),
(28, 2, 27, '고갯길의 복병 7관문 돌파', '스테이지 2-7 클리어', 4350, 100),
(29, 2, 28, '고갯길의 복병 8관문 돌파', '스테이지 2-8 클리어', 4400, 100),
(30, 2, 29, '고갯길의 복병 9관문 돌파', '스테이지 2-9 클리어', 4450, 100),
(31, 2, 30, '고갯길의 복병 10관문 돌파', '스테이지 2-10 클리어', 4500, 100),
(32, 2, 31, '고갯길의 복병 11관문 돌파', '스테이지 2-11 클리어', 4550, 100),
(33, 2, 32, '고갯길의 복병 12관문 돌파', '스테이지 2-12 클리어', 4600, 100),
(34, 2, 33, '고갯길의 복병 13관문 돌파', '스테이지 2-13 클리어', 4650, 100),
(35, 2, 34, '고갯길의 복병 14관문 돌파', '스테이지 2-14 클리어', 4700, 100),
(36, 2, 35, '고갯길의 복병 15관문 돌파', '스테이지 2-15 클리어', 4750, 100),
(37, 3, 36, '연꽃의 정원 1관문 돌파', '스테이지 3-1 클리어', 4800, 100),
(38, 3, 37, '연꽃의 정원 2관문 돌파', '스테이지 3-2 클리어', 4850, 100),
(39, 3, 38, '연꽃의 정원 3관문 돌파', '스테이지 3-3 클리어', 4900, 100),
(40, 3, 39, '연꽃의 정원 4관문 돌파', '스테이지 3-4 클리어', 4950, 100),
(41, 3, 40, '연꽃의 정원 5관문 돌파', '스테이지 3-5 클리어', 5000, 100),
(42, 3, 41, '연꽃의 정원 6관문 돌파', '스테이지 3-6 클리어', 5050, 100),
(43, 3, 42, '연꽃의 정원 7관문 돌파', '스테이지 3-7 클리어', 5100, 100),
(44, 3, 43, '연꽃의 정원 8관문 돌파', '스테이지 3-8 클리어', 5150, 100),
(45, 3, 44, '연꽃의 정원 9관문 돌파', '스테이지 3-9 클리어', 5200, 100),
(46, 3, 45, '연꽃의 정원 10관문 돌파', '스테이지 3-10 클리어', 5250, 100),
(47, 3, 46, '연꽃의 정원 11관문 돌파', '스테이지 3-11 클리어', 5300, 100),
(48, 3, 47, '연꽃의 정원 12관문 돌파', '스테이지 3-12 클리어', 5350, 100),
(49, 3, 48, '연꽃의 정원 13관문 돌파', '스테이지 3-13 클리어', 5400, 100),
(50, 3, 49, '연꽃의 정원 14관문 돌파', '스테이지 3-14 클리어', 5450, 100),
(51, 3, 50, '연꽃의 정원 15관문 돌파', '스테이지 3-15 클리어', 5500, 100),
(52, 4, 51, '얼어붙은 설산 1관문 돌파', '스테이지 4-1 클리어', 5550, 100),
(53, 4, 52, '얼어붙은 설산 2관문 돌파', '스테이지 4-2 클리어', 5600, 100),
(54, 4, 53, '얼어붙은 설산 3관문 돌파', '스테이지 4-3 클리어', 5650, 100),
(55, 4, 54, '얼어붙은 설산 4관문 돌파', '스테이지 4-4 클리어', 5700, 100),
(56, 4, 55, '얼어붙은 설산 5관문 돌파', '스테이지 4-5 클리어', 5750, 100),
(57, 4, 56, '얼어붙은 설산 6관문 돌파', '스테이지 4-6 클리어', 5800, 100),
(58, 4, 57, '얼어붙은 설산 7관문 돌파', '스테이지 4-7 클리어', 5850, 100),
(59, 4, 58, '얼어붙은 설산 8관문 돌파', '스테이지 4-8 클리어', 5900, 100),
(60, 4, 59, '얼어붙은 설산 9관문 돌파', '스테이지 4-9 클리어', 5950, 100),
(61, 4, 60, '얼어붙은 설산 10관문 돌파', '스테이지 4-10 클리어', 6000, 100),
(62, 4, 61, '얼어붙은 설산 11관문 돌파', '스테이지 4-11 클리어', 6050, 100),
(63, 4, 62, '얼어붙은 설산 12관문 돌파', '스테이지 4-12 클리어', 6100, 100),
(64, 4, 63, '얼어붙은 설산 13관문 돌파', '스테이지 4-13 클리어', 6150, 100),
(65, 4, 64, '얼어붙은 설산 14관문 돌파', '스테이지 4-14 클리어', 6200, 100),
(66, 4, 65, '얼어붙은 설산 15관문 돌파', '스테이지 4-15 클리어', 6250, 100),
(67, 5, 66, '황량한 황야 1관문 돌파', '스테이지 5-1 클리어', 6300, 100),
(68, 5, 67, '황량한 황야 2관문 돌파', '스테이지 5-2 클리어', 6350, 100),
(69, 5, 68, '황량한 황야 3관문 돌파', '스테이지 5-3 클리어', 6400, 100),
(70, 5, 69, '황량한 황야 4관문 돌파', '스테이지 5-4 클리어', 6450, 100),
(71, 5, 70, '황량한 황야 5관문 돌파', '스테이지 5-5 클리어', 6500, 100),
(72, 5, 71, '황량한 황야 6관문 돌파', '스테이지 5-6 클리어', 6550, 100),
(73, 5, 72, '황량한 황야 7관문 돌파', '스테이지 5-7 클리어', 6600, 100),
(74, 5, 73, '황량한 황야 8관문 돌파', '스테이지 5-8 클리어', 6650, 100),
(75, 5, 74, '황량한 황야 9관문 돌파', '스테이지 5-9 클리어', 6700, 100),
(76, 5, 75, '황량한 황야 10관문 돌파', '스테이지 5-10 클리어', 6750, 100),
(77, 5, 76, '황량한 황야 11관문 돌파', '스테이지 5-11 클리어', 6800, 100),
(78, 5, 77, '황량한 황야 12관문 돌파', '스테이지 5-12 클리어', 6850, 100),
(79, 5, 78, '황량한 황야 13관문 돌파', '스테이지 5-13 클리어', 6900, 100),
(80, 5, 79, '황량한 황야 14관문 돌파', '스테이지 5-14 클리어', 6950, 100),
(81, 5, 80, '황량한 황야 15관문 돌파', '스테이지 5-15 클리어', 7000, 100),
(82, 6, 81, '지하의 혈투 1관문 돌파', '스테이지 6-1 클리어', 7050, 100),
(83, 6, 82, '지하의 혈투 2관문 돌파', '스테이지 6-2 클리어', 7100, 100),
(84, 6, 83, '지하의 혈투 3관문 돌파', '스테이지 6-3 클리어', 7150, 100),
(85, 6, 84, '지하의 혈투 4관문 돌파', '스테이지 6-4 클리어', 7200, 100),
(86, 6, 85, '지하의 혈투 5관문 돌파', '스테이지 6-5 클리어', 7250, 100),
(87, 6, 86, '지하의 혈투 6관문 돌파', '스테이지 6-6 클리어', 7300, 100),
(88, 6, 87, '지하의 혈투 7관문 돌파', '스테이지 6-7 클리어', 7350, 100),
(89, 6, 88, '지하의 혈투 8관문 돌파', '스테이지 6-8 클리어', 7400, 100),
(90, 6, 89, '지하의 혈투 9관문 돌파', '스테이지 6-9 클리어', 7450, 100),
(91, 6, 90, '지하의 혈투 10관문 돌파', '스테이지 6-10 클리어', 7500, 100),
(92, 6, 91, '지하의 혈투 11관문 돌파', '스테이지 6-11 클리어', 7550, 100),
(93, 6, 92, '지하의 혈투 12관문 돌파', '스테이지 6-12 클리어', 7600, 100),
(94, 6, 93, '지하의 혈투 13관문 돌파', '스테이지 6-13 클리어', 7650, 100),
(95, 6, 94, '지하의 혈투 14관문 돌파', '스테이지 6-14 클리어', 7700, 100),
(96, 6, 95, '지하의 혈투 15관문 돌파', '스테이지 6-15 클리어', 7750, 100),
(97, 7, 96, '천공의 검무 1관문 돌파', '스테이지 7-1 클리어', 7800, 100),
(98, 7, 97, '천공의 검무 2관문 돌파', '스테이지 7-2 클리어', 7850, 100),
(99, 7, 98, '천공의 검무 3관문 돌파', '스테이지 7-3 클리어', 7900, 100),
(100, 7, 99, '천공의 검무 4관문 돌파', '스테이지 7-4 클리어', 7950, 100),
(101, 7, 100, '천공의 검무 5관문 돌파', '스테이지 7-5 클리어', 8000, 100),
(102, 7, 101, '천공의 검무 6관문 돌파', '스테이지 7-6 클리어', 8050, 100),
(103, 7, 102, '천공의 검무 7관문 돌파', '스테이지 7-7 클리어', 8100, 100),
(104, 7, 103, '천공의 검무 8관문 돌파', '스테이지 7-8 클리어', 8150, 100),
(105, 7, 104, '천공의 검무 9관문 돌파', '스테이지 7-9 클리어', 8200, 100),
(106, 7, 105, '천공의 검무 10관문 돌파', '스테이지 7-10 클리어', 8250, 100),
(107, 7, 106, '천공의 검무 11관문 돌파', '스테이지 7-11 클리어', 8300, 100),
(108, 7, 107, '천공의 검무 12관문 돌파', '스테이지 7-12 클리어', 8350, 100),
(109, 7, 108, '천공의 검무 13관문 돌파', '스테이지 7-13 클리어', 8400, 100),
(110, 7, 109, '천공의 검무 14관문 돌파', '스테이지 7-14 클리어', 8450, 100),
(111, 7, 110, '천공의 검무 15관문 돌파', '스테이지 7-15 클리어', 8500, 100),
(112, 8, 111, '심연의 틈새 1관문 돌파', '스테이지 8-1 클리어', 8550, 100),
(113, 8, 112, '심연의 틈새 2관문 돌파', '스테이지 8-2 클리어', 8600, 100),
(114, 8, 113, '심연의 틈새 3관문 돌파', '스테이지 8-3 클리어', 8650, 100),
(115, 8, 114, '심연의 틈새 4관문 돌파', '스테이지 8-4 클리어', 8700, 100),
(116, 8, 115, '심연의 틈새 5관문 돌파', '스테이지 8-5 클리어', 8750, 100),
(117, 8, 116, '심연의 틈새 6관문 돌파', '스테이지 8-6 클리어', 8800, 100),
(118, 8, 117, '심연의 틈새 7관문 돌파', '스테이지 8-7 클리어', 8850, 100),
(119, 8, 118, '심연의 틈새 8관문 돌파', '스테이지 8-8 클리어', 8900, 100),
(120, 8, 119, '심연의 틈새 9관문 돌파', '스테이지 8-9 클리어', 8950, 100),
(121, 8, 120, '심연의 틈새 10관문 돌파', '스테이지 8-10 클리어', 9000, 100),
(122, 8, 121, '심연의 틈새 11관문 돌파', '스테이지 8-11 클리어', 9050, 100),
(123, 8, 122, '심연의 틈새 12관문 돌파', '스테이지 8-12 클리어', 9100, 100),
(124, 8, 123, '심연의 틈새 13관문 돌파', '스테이지 8-13 클리어', 9150, 100),
(125, 8, 124, '심연의 틈새 14관문 돌파', '스테이지 8-14 클리어', 9200, 100),
(126, 8, 125, '심연의 틈새 15관문 돌파', '스테이지 8-15 클리어', 9250, 100),
(127, 9, 126, '복수의 서막 1관문 돌파', '스테이지 9-1 클리어', 9300, 100),
(128, 9, 127, '복수의 서막 2관문 돌파', '스테이지 9-2 클리어', 9350, 100),
(129, 9, 128, '복수의 서막 3관문 돌파', '스테이지 9-3 클리어', 9400, 100),
(130, 9, 129, '복수의 서막 4관문 돌파', '스테이지 9-4 클리어', 9450, 100),
(131, 9, 130, '복수의 서막 5관문 돌파', '스테이지 9-5 클리어', 9500, 100),
(132, 9, 131, '복수의 서막 6관문 돌파', '스테이지 9-6 클리어', 9550, 100),
(133, 9, 132, '복수의 서막 7관문 돌파', '스테이지 9-7 클리어', 9600, 100),
(134, 9, 133, '복수의 서막 8관문 돌파', '스테이지 9-8 클리어', 9650, 100),
(135, 9, 134, '복수의 서막 9관문 돌파', '스테이지 9-9 클리어', 9700, 100),
(136, 9, 135, '복수의 서막 10관문 돌파', '스테이지 9-10 클리어', 9750, 100),
(137, 9, 136, '복수의 서막 11관문 돌파', '스테이지 9-11 클리어', 9800, 100),
(138, 9, 137, '복수의 서막 12관문 돌파', '스테이지 9-12 클리어', 9850, 100),
(139, 9, 138, '복수의 서막 13관문 돌파', '스테이지 9-13 클리어', 9900, 100),
(140, 9, 139, '복수의 서막 14관문 돌파', '스테이지 9-14 클리어', 9950, 100),
(141, 9, 140, '복수의 서막 15관문 돌파', '스테이지 9-15 클리어', 10000, 100),
(142, 10, 141, '천마의 종말 1관문 돌파', '스테이지 10-1 클리어', 10050, 100),
(143, 10, 142, '천마의 종말 2관문 돌파', '스테이지 10-2 클리어', 10100, 100),
(144, 10, 143, '천마의 종말 3관문 돌파', '스테이지 10-3 클리어', 10150, 100),
(145, 10, 144, '천마의 종말 4관문 돌파', '스테이지 10-4 클리어', 10200, 100),
(146, 10, 145, '천마의 종말 5관문 돌파', '스테이지 10-5 클리어', 10250, 100),
(147, 10, 146, '천마의 종말 6관문 돌파', '스테이지 10-6 클리어', 10300, 100),
(148, 10, 147, '천마의 종말 7관문 돌파', '스테이지 10-7 클리어', 10350, 100),
(149, 10, 148, '천마의 종말 8관문 돌파', '스테이지 10-8 클리어', 10400, 100),
(150, 10, 149, '천마의 종말 9관문 돌파', '스테이지 10-9 클리어', 10450, 100),
(151, 10, 150, '천마의 종말 10관문 돌파', '스테이지 10-10 클리어', 10500, 100),
(152, 10, 151, '천마의 종말 11관문 돌파', '스테이지 10-11 클리어', 10550, 100),
(153, 10, 152, '천마의 종말 12관문 돌파', '스테이지 10-12 클리어', 10600, 100),
(154, 10, 153, '천마의 종말 13관문 돌파', '스테이지 10-13 클리어', 10650, 100),
(155, 10, 154, '천마의 종말 14관문 돌파', '스테이지 10-14 클리어', 10700, 100),
(156, 10, 155, '천마의 종말 15관문 돌파', '스테이지 10-15 클리어', 10750, 100);
